degree,duration,fitted,fraction,method,n_outcomes,name,ranking_error,uniform_noise,value_error_mean,value_error_std,white_noise
2,0.0002572331577539444,True,0.6666666666666666,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7697500599535755,0.3822616135203807,0.0
2,0.0002561751753091812,True,0.6666666666666666,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.5748918403580677,0.44817564907771995,0.0
3,0.00031272321939468384,True,0.6666666666666666,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.7519932803444699,0.418594752475851,0.0
3,0.0002884054556488991,True,0.6666666666666666,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4858592009841031,0.3146744370079286,0.0
3,0.00028648972511291504,True,0.6666666666666666,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4506486303951228,0.26807533469036393,0.0
2,0.0002588033676147461,True,0.7777777777777777,errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,1.0,0.0,0.8269410512416372,0.44712977754340766,0.0
2,0.0002518976107239723,True,0.7777777777777777,errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4679689822234068,0.29055851862613935,0.0
2,0.00025026407092809677,True,0.7777777777777777,errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.3936017620792616,0.20004361550953176,0.0
3,0.0003069201484322548,True,0.7777777777777777,errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.752673145053296,0.4172131342223365,0.0
3,0.00028816331177949905,True,0.7777777777777777,errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4708100874500764,0.29432770988824736,0.0
